source_fold,cell,group,n,pred_range_pp,pred_sd_pp,y_range_pp,y_sd_pp,constant_within_1e_8_pp,mae,rmse,p95_ae
XJTU__R2.5,CS2_5,B1,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,3.8690283136852717,4.154831920148234,6.078314185142517
XJTU__R2.5,CS2_5,B12,59,0.0,0.0,5.423128604888916,1.5143474477755627,True,3.890572365973208,4.174901379369185,6.099858237430453
XJTU__R2.5,CS2_5,B123,59,0.251207111430396,0.07852551234052804,5.423128604888916,1.5143474477755627,False,3.7642452187215087,4.039262685036108,5.86371389982265
XJTU__R2.5,CS2_5,B1234,59,0.251207111430396,0.07852551234052804,5.423128604888916,1.5143474477755627,False,3.7642452187215087,4.039262685036108,5.86371389982265
XJTU__R2.5,CS2_6,B,55,0.0,0.0,35.4189932346344,11.647907691817144,True,15.791613297028976,19.622660475073083,34.80005502700806
XJTU__R2.5,CS2_6,B1,55,0.0,0.0,35.4189932346344,11.647907691817144,True,14.717671708627181,18.769219859120888,33.72611343860626
XJTU__R2.5,CS2_6,B12,55,0.0,0.0,35.4189932346344,11.647907691817144,True,14.516307660801845,18.611742038297958,33.524749390780926
XJTU__R2.5,CS2_6,B123,55,0.258960832132904,0.08055898054331083,35.4189932346344,11.647907691817144,False,14.384654840860746,18.47708791703167,33.3161301024449
XJTU__R2.5,CS2_6,B1234,55,0.258960832132904,0.08055898054331083,35.4189932346344,11.647907691817144,False,14.384654840860746,18.47708791703167,33.3161301024449
XJTU__R2.5,CX2_3,B,1750,0.0,0.0,60.35713851451874,13.632691845866793,True,24.92828130211149,28.41248837468419,50.39376184344292
XJTU__R2.5,CX2_3,B1,1750,0.0,0.0,60.35713851451874,13.632691845866793,True,24.269018168108804,27.83586768556637,49.73449870944023
XJTU__R2.5,CX2_3,B12,1750,0.0,2.220446049250313e-14,60.35713851451874,13.632691845866793,True,24.581481424328825,28.10870889918258,50.04696196566025
XJTU__R2.5,CX2_3,B123,1750,0.2553839862614815,0.044989536521618016,60.35713851451874,13.632691845866793,False,24.32706421533853,27.87422907823751,49.774113570650414
XJTU__R2.5,CX2_3,B1234,1750,0.2553839862614815,0.044989536521618016,60.35713851451874,13.632691845866793,False,24.32706421533853,27.87422907823751,49.774113570650414
XJTU__R2.5,PL11,B,870,0.0,0.0,21.94696068763733,6.184452035592647,True,9.587966505138354,11.409493796141923,20.185038745403286
XJTU__R2.5,PL11,B1,870,0.0,2.220446049250313e-14,21.94696068763733,6.184452035592647,True,9.253109994976002,11.129577330683803,19.850182235240936
