dataset,group,cells,domains,points,mae,rmse,p95_ae,bias,bias_fraction,top5_error_share
XJTU,B1,55,6,13407,2.9224387983254316,3.7282460175844054,7.212394399545052,0.415149814039723,0.6721052757490255,0.1895934841390653
XJTU,B12,55,6,13407,2.656696458890733,3.3496140232250213,6.371277260808374,0.13852500463077977,0.6071905752943397,0.1957966929196799
XJTU,B123__wave_absolute_pca8__0.25,55,6,13407,2.662895835361541,3.3593394381382957,6.391239578516159,0.14247991959039527,0.6088005588144616,0.19586411721744743
XJTU,B123__wave_absolute_pca8__0.5,55,6,13407,2.6696959125295057,3.3694504061519885,6.412462999386217,0.1464348345500109,0.6102611801152804,0.1959027481126707
XJTU,B123__wave_absolute_pca8__0.75,55,6,13407,2.6772029331048426,3.379939740368578,6.433304780411434,0.15038974950962633,0.611539990796519,0.19589548505851173
XJTU,B123__wave_absolute_pca8__1,55,6,13407,2.6851367331001263,3.390800691796219,6.453534442864111,0.1543446644692418,0.6127108084961641,0.1958592830967494
XJTU,B123__wave_absolute_pls4__0.25,55,6,13407,2.6459034555364944,3.327663335840553,6.3323389671246915,0.13329013971724382,0.5929387109316878,0.19500340781623268
XJTU,B123__wave_absolute_pls4__0.5,55,6,13407,2.6420775642531305,3.3130065254176144,6.286362308360666,0.12805527480370835,0.585503783698749,0.19339515737300536
XJTU,B123__wave_absolute_pls4__0.75,55,6,13407,2.645098701179643,3.305774530320704,6.260504092771285,0.12282040989017233,0.5855785671030146,0.19108532620336138
XJTU,B123__wave_absolute_pls4__1,55,6,13407,2.6539429133167904,3.3057853218115185,6.243710726744722,0.11758554497663638,0.5964886896021989,0.18863200912207825
XJTU,B123__wave_pair_pca8__0.25,55,6,13407,2.646680349596771,3.324043418086694,6.315344514348499,0.12108574685118123,0.6025309729064998,0.19468214854311125
XJTU,B123__wave_pair_pca8__0.5,55,6,13407,2.6459034911191783,3.306748254191419,6.270075949399074,0.10364648907158291,0.5981524856181802,0.1933846825032605
XJTU,B123__wave_pair_pca8__0.75,55,6,13407,2.656012470670143,3.298114942401703,6.226569382346589,0.08620723129198453,0.5970284582422134,0.19161077639965185
XJTU,B123__wave_pair_pca8__1,55,6,13407,2.6750571268873364,3.2984340976118314,6.190631056797048,0.06876797351238606,0.5959402010572608,0.1894804589155645
XJTU,B123__wave_pair_pls4__0.25,55,6,13407,2.6459726059122883,3.332711445657511,6.345069007274458,0.16808899578414116,0.5956521670276137,0.19639436771777885
XJTU,B123__wave_pair_pls4__0.5,55,6,13407,2.6427674343182552,3.32648660618553,6.345852432023051,0.19765298693750233,0.6019964257634367,0.19750173890425038
XJTU,B123__wave_pair_pls4__0.75,55,6,13407,2.6478665955850524,3.3305889351753177,6.366829367202037,0.22721697809086358,0.6191451287617437,0.19835867220060277
XJTU,B123__wave_pair_pls4__1,55,6,13407,2.659674244827371,3.343632155671125,6.410617107839802,0.25678096924422483,0.6269377730708098,0.19879730360348746
XJTU,B13__wave_absolute_pca8__0.25,55,6,13407,2.9200106792811553,3.7259728694221352,7.203677742114297,0.4039766508979599,0.6757629493584214,0.18964887869235536
XJTU,B13__wave_absolute_pca8__0.5,55,6,13407,2.9181195070749157,3.724463732059345,7.193304859622345,0.39280348775619683,0.6793598976545955,0.1896688593015449
XJTU,B13__wave_absolute_pca8__0.75,55,6,13407,2.9166416357074048,3.723732192193735,7.19139548528029,0.38163032461443386,0.6828731061552263,0.18966216855700035
XJTU,B13__wave_absolute_pca8__1,55,6,13407,2.9155016309550774,3.7237922500914,7.193233524946283,0.37045716147267066,0.6863334585796319,0.1896428596070169
XJTU,B13__wave_absolute_pls4__0.25,55,6,13407,2.87752955600932,3.6589035345328527,7.041966402382041,0.3900696306308846,0.6620834585382759,0.189165294671973
XJTU,B13__wave_absolute_pls4__0.5,55,6,13407,2.840274144560896,3.5961392379707857,6.903876283522416,0.3649894472220461,0.6477254396906978,0.18842951808958028
XJTU,B13__wave_absolute_pls4__0.75,55,6,13407,2.8104230955696594,3.5407665862176327,6.799540952338493,0.3399092638132079,0.6291185875971088,0.18750876934622737
XJTU,B13__wave_absolute_pls4__1,55,6,13407,2.7861639747019304,3.493630306008924,6.6791091853471345,0.31482908040436935,0.6072794466899435,0.1864880532299407
XJTU,B13__wave_pair_pca8__0.25,55,6,13407,2.8740363645380795,3.645570324272939,7.002973171599564,0.38033116099202174,0.6837619646214969,0.18828989601084412
XJTU,B13__wave_pair_pca8__0.5,55,6,13407,2.832528112316986,3.5723409497487193,6.80413726995321,0.34551250794432015,0.6961192716634121,0.18705614916899682
XJTU,B13__wave_pair_pca8__0.75,55,6,13407,2.79873707730486,3.5097789161951147,6.670463187489729,0.3106938548966187,0.7059199688954849,0.18594562760307687
XJTU,B13__wave_pair_pca8__1,55,6,13407,2.774194254356613,3.459072354023973,6.550190127638337,0.2758752018489173,0.711766722973992,0.1847361367167509
XJTU,B13__wave_pair_pls4__0.25,55,6,13407,2.870773469533567,3.6607263258902836,7.087041519018552,0.4485688661599485,0.6697096387621779,0.19038114815625326
XJTU,B13__wave_pair_pls4__0.5,55,6,13407,2.822938545418916,3.5991937753309133,6.980670923367078,0.4819879182801743,0.6635055196319367,0.19140861759230476
XJTU,B13__wave_pair_pls4__0.75,55,6,13407,2.7814010723994134,3.5457537848585203,6.887479345750829,0.5154069704003998,0.651209497475025,0.19261812108750287
XJTU,B13__wave_pair_pls4__1,55,6,13407,2.7482237223839365,3.503118709308259,6.793336166543225,0.548826022520625,0.6440310715903129,0.1943292535825638
XJTU,B2,55,6,13407,2.936604714727192,3.6885219366866675,7.061936910409792,-0.24847393534305842,0.658717524887441,0.19038131206043807
XJTU,B23__wave_absolute_pca8__0.25,55,6,13407,2.947318702140141,3.7059523987251404,7.1021166221717245,-0.22215829227362693,0.6651730442597853,0.19063930658054282
