dataset,domain,group,mae,rmse,p95_ae,low_mae,low_rmse,low_p95_ae
Tongji,Tongji2_CY35-05_1,B1234,0.7264442068535489,0.870735685527158,1.5581822996538586,0.604192661255746,0.7252776847693874,1.3095720501195507
Tongji,Tongji1_CY45-05_1,B,10.346811363842276,11.261702469672128,16.25615286766129,12.188820869736052,12.569972043765683,16.38798808394784
Tongji,Tongji1_CY45-05_1,B1,11.613358047887372,12.856182651234505,20.876136232368957,13.071847453011952,14.031022364789672,21.298406120163158
Tongji,Tongji1_CY45-05_1,B2,3.6565364104761633,3.9995592696765647,5.693229650669621,3.954429764128111,4.203230342855459,5.702200698241865
Tongji,Tongji1_CY45-05_1,B12,3.7377468947995847,4.0908559154561015,5.820091821001332,4.032619901870826,4.293110449896596,5.831981286597867
Tongji,Tongji1_CY45-05_1,B3,9.445783765006803,10.278953718124919,14.835102572623551,11.135293379806996,11.47897610583162,14.95503573863675
Tongji,Tongji1_CY45-05_1,B13,10.557206177550253,11.640069788038648,18.76207686409259,11.900317719648953,12.715423287539618,19.12494540638818
Tongji,Tongji1_CY45-05_1,B23,3.2443836833093926,3.5592293856509607,5.103021026407591,3.4979947536204192,3.7354412113263704,5.144996590526763
Tongji,Tongji1_CY45-05_1,B123,3.3309538308715423,3.649232847916936,5.204785724926501,3.586535346313398,3.8273784455683924,5.245118168576264
Tongji,Tongji1_CY45-05_1,B4,8.669237687039717,9.422666017993228,13.575134323803686,10.205010673296666,10.517717852473071,13.67223822421902
Tongji,Tongji1_CY45-05_1,B14,9.621017919734658,10.552407891699875,16.873937756679545,10.854570650152443,11.535306560071222,17.164761400069754
Tongji,Tongji1_CY45-05_1,B24,2.8060771860972658,3.106120961836502,4.487556230298603,3.0300742298927146,3.263117571316542,4.52890881929645
Tongji,Tongji1_CY45-05_1,B124,2.8972559599309835,3.1923794764042546,4.586633925152315,3.1279901924115743,3.353564630160687,4.6284094098605495
Tongji,Tongji1_CY45-05_1,B34,7.997499126444358,8.689827738875538,12.502159894261636,9.414955572805463,9.701530588364616,12.595910316308332
Tongji,Tongji1_CY45-05_1,B134,8.834841182450054,9.650824374208955,15.276386939808063,9.979734472007497,10.559161216623437,15.564669590805071
Tongji,Tongji1_CY45-05_1,B234,2.6060531693647944,2.897422331970844,4.231590190971916,2.8228701614694915,3.0552273573328175,4.282051917781151
Tongji,Tongji1_CY45-05_1,B1234,2.6922179203107204,2.9762854990822305,4.305956271702088,2.9168331286972675,3.1385943199926,4.359347709395721
Tongji,Tongji3_CY25-05_1,B,5.234726699516635,7.360015662043474,16.144215684225724,6.464179615252873,8.193758364105836,16.721174863541453
Tongji,Tongji3_CY25-05_1,B1,1.9438971556044724,2.904151281337443,4.4018136028830375,1.978778914919345,2.5528266823642216,4.535673808806496
Tongji,Tongji3_CY25-05_1,B2,2.0066811070102006,2.866421828281253,4.343084240594693,2.060646132016723,2.5715834351318807,4.550000034415833
Tongji,Tongji3_CY25-05_1,B12,1.6906429554350233,2.583674014687988,3.633611959072604,1.6759737871340088,2.1556110588840394,3.8770423674407932
Tongji,Tongji3_CY25-05_1,B3,4.060377897229897,5.725274417228163,12.367566518771293,4.9259981262500725,6.279437940759607,13.03093518405899
Tongji,Tongji3_CY25-05_1,B13,1.7071366334575782,2.642953116743213,3.639732405112973,1.6773266030944585,2.1681977166689195,3.74652400533639
Tongji,Tongji3_CY25-05_1,B23,1.7510852470635385,2.6381487731722295,3.7722232001296834,1.7258426935386701,2.2161193489981312,3.946056777485405
Tongji,Tongji3_CY25-05_1,B123,1.5638091951536606,2.4589755970765683,3.242065187581358,1.5025586999847915,1.9389878759016785,3.431841424161212
Tongji,Tongji3_CY25-05_1,B4,4.56675541926586,6.466845133859416,14.178477010212516,5.619890944090401,7.153792646090246,14.682658963884442
Tongji,Tongji3_CY25-05_1,B14,1.7729795010725955,2.727751059993714,3.937555341379088,1.8107302775846694,2.3214126116771703,4.053648026758203
Tongji,Tongji3_CY25-05_1,B24,1.7774940175064977,2.6535511427919154,3.9099909706702003,1.8231822097353871,2.2915523596081866,4.104226059770694
Tongji,Tongji3_CY25-05_1,B124,1.5430798231999259,2.4453683558797783,3.3586499345323304,1.5386941679582666,1.9669852058666901,3.4866423603223478
Tongji,Tongji3_CY25-05_1,B34,3.5428595143128256,5.060540066496554,10.97974777805557,4.287800985442979,5.489538054113207,11.452145313236384
Tongji,Tongji3_CY25-05_1,B134,1.5702209012571817,2.516513366747261,3.3449597673950904,1.5552144778948531,1.998989462322448,3.4404414346620826
Tongji,Tongji3_CY25-05_1,B234,1.5792849900503987,2.4789062629374077,3.3491375240076593,1.5630597015605678,2.005937317103539,3.55310001315504
Tongji,Tongji3_CY25-05_1,B1234,1.4375796290195115,2.3514165694682987,2.976289998655074,1.3949318749023798,1.7934568718285213,3.139511982692889
Tongji,Tongji3_CY25-05_4,B,9.124625101969569,12.207082734231841,23.776531779965733,11.37539699394417,13.715306078167307,24.212928001368955
Tongji,Tongji3_CY25-05_4,B1,5.9189674140259845,7.624326341284525,15.395553651546855,6.86792172857604,8.392758017520674,15.705079085531915
Tongji,Tongji3_CY25-05_4,B2,6.0891996046871215,8.343149091335592,15.826349466230672,7.383913875117329,9.308953263636404,16.052531974605625
Tongji,Tongji3_CY25-05_4,B12,5.807778628069947,8.011734929503367,15.365987297188333,7.181097047077793,8.941185169107655,15.583360421021027
Tongji,Tongji3_CY25-05_4,B3,8.17482586011967,11.056065349976855,21.670607938432486,10.214656146000628,12.41192476694227,21.97477870169257
Tongji,Tongji3_CY25-05_4,B13,5.3865229800619465,7.049897621002674,14.308077034148324,6.307806157581633,7.76065977961385,14.516843414878442
